Period,Industry,Avg_Actual_Hrs_Worked
1Q 2017,Manufacturing,42.4
1Q 2017,Construction,45.5
1Q 2017,Wholesale Trade,40
1Q 2017,Retail Trade,41.1
1Q 2017,Transportation & Storage,44.3
1Q 2017,Accommodation,43.6
1Q 2017,Food & Beverage Services,43.5
1Q 2017,Information & Communications,40.2
1Q 2017,Financial & Insurance Services,40.9
1Q 2017,Real Estate Services,41.8
1Q 2017,Professional Services,40.5
1Q 2017,Administrative & Support Services,40.9
1Q 2017,"Community, Social & Personal Services",51.8
1Q 2017,Public Administration & Defence,41.9
1Q 2017,Education,37.8
1Q 2017,Health & Social Work,39.7
1Q 2017,"Arts, Entertainment & Recreation",38.2
1Q 2017,"Other Community, Social & Personal Services",67.5
1Q 2017,Others,42.4
2Q 2017,Manufacturing,43.8
2Q 2017,Construction,45.7
2Q 2017,Wholesale Trade,41.3
2Q 2017,Retail Trade,41.3
2Q 2017,Transportation & Storage,44.8
2Q 2017,Accommodation,43.9
2Q 2017,Food & Beverage Services,43.5
2Q 2017,Information & Communications,41
2Q 2017,Financial & Insurance Services,41.6
2Q 2017,Real Estate Services,40.9
2Q 2017,Professional Services,41.7
2Q 2017,Administrative & Support Services,41.9
2Q 2017,"Community, Social & Personal Services",51.7
2Q 2017,Public Administration & Defence,42.3
2Q 2017,Education,37.7
2Q 2017,Health & Social Work,39
2Q 2017,"Arts, Entertainment & Recreation",39.1
2Q 2017,"Other Community, Social & Personal Services",67.4
2Q 2017,Others,41.6
3Q 2017,Manufacturing,43.1
3Q 2017,Construction,45.5
3Q 2017,Wholesale Trade,41.3
3Q 2017,Retail Trade,41.6
3Q 2017,Transportation & Storage,44.4
3Q 2017,Accommodation,42.5
3Q 2017,Food & Beverage Services,43.9
3Q 2017,Information & Communications,41.6
3Q 2017,Financial & Insurance Services,41.6
3Q 2017,Real Estate Services,40.8
3Q 2017,Professional Services,40.9
3Q 2017,Administrative & Support Services,42.1
3Q 2017,"Community, Social & Personal Services",52.2
3Q 2017,Public Administration & Defence,42.6
3Q 2017,Education,37.7
3Q 2017,Health & Social Work,40
3Q 2017,"Arts, Entertainment & Recreation",39.9
3Q 2017,"Other Community, Social & Personal Services",67.7
3Q 2017,Others,41.9
4Q 2017,Manufacturing,43.1
4Q 2017,Construction,45.1
4Q 2017,Wholesale Trade,41.4
4Q 2017,Retail Trade,41.9
4Q 2017,Transportation & Storage,44.9
4Q 2017,Accommodation,43
4Q 2017,Food & Beverage Services,44.1
4Q 2017,Information & Communications,40.5
4Q 2017,Financial & Insurance Services,42.1
4Q 2017,Real Estate Services,39.7
4Q 2017,Professional Services,40.6
4Q 2017,Administrative & Support Services,41.4
4Q 2017,"Community, Social & Personal Services",51.9
4Q 2017,Public Administration & Defence,42.3
4Q 2017,Education,38
4Q 2017,Health & Social Work,39.5
4Q 2017,"Arts, Entertainment & Recreation",38
4Q 2017,"Other Community, Social & Personal Services",67.5
4Q 2017,Others,40.2
1Q 2018,Manufacturing,42.2
1Q 2018,Construction,44.7
1Q 2018,Wholesale Trade,39.8
1Q 2018,Retail Trade,40.3
1Q 2018,Transportation & Storage,43.6
1Q 2018,Accommodation,41.3
1Q 2018,Food & Beverage Services,42.9
1Q 2018,Information & Communications,39.4
1Q 2018,Financial & Insurance Services,41.1
1Q 2018,Real Estate Services,38.7
1Q 2018,Professional Services,39.5
1Q 2018,Administrative & Support Services,40.8
1Q 2018,"Community, Social & Personal Services",51.3
1Q 2018,Public Administration & Defence,41.1
1Q 2018,Education,37.4
1Q 2018,Health & Social Work,38.7
1Q 2018,"Arts, Entertainment & Recreation",37.5
1Q 2018,"Other Community, Social & Personal Services",67.2
1Q 2018,Others,33.5
2Q 2018,Manufacturing,41.9
2Q 2018,Construction,45.1
2Q 2018,Wholesale Trade,39.5
2Q 2018,Retail Trade,41.2
2Q 2018,Transportation & Storage,43
2Q 2018,Accommodation,43.6
2Q 2018,Food & Beverage Services,42.6
2Q 2018,Information & Communications,39.4
2Q 2018,Financial & Insurance Services,40.7
2Q 2018,Real Estate Services,40.3
2Q 2018,Professional Services,39.4
2Q 2018,Administrative & Support Services,41.1
2Q 2018,"Community, Social & Personal Services",51.1
2Q 2018,Public Administration & Defence,40.9
2Q 2018,Education,36.6
2Q 2018,Health & Social Work,38.5
2Q 2018,"Arts, Entertainment & Recreation",38.5
2Q 2018,"Other Community, Social & Personal Services",67
2Q 2018,Others,39.6
3Q 2018,Manufacturing,43.1
3Q 2018,Construction,45.3
3Q 2018,Wholesale Trade,41.4
3Q 2018,Retail Trade,41.9
3Q 2018,Transportation & Storage,43.6
3Q 2018,Accommodation,44.6
3Q 2018,Food & Beverage Services,42.5
3Q 2018,Information & Communications,40.7
3Q 2018,Financial & Insurance Services,41.9
3Q 2018,Real Estate Services,43.7
3Q 2018,Professional Services,41.2
3Q 2018,Administrative & Support Services,42
3Q 2018,"Community, Social & Personal Services",52.1
3Q 2018,Public Administration & Defence,43
3Q 2018,Education,37.4
3Q 2018,Health & Social Work,40.3
