year,percentile,gross_monthly_income_including_employer_po_cpf,gross_monthly_income_excluding_employer_po_cpf
1996,p20,1140,1000
1996,p50,1950,1625
1997,p20,1200,1000
1997,p50,2078,1800
1998,p20,1300,1083
1998,p50,2240,1950
1999,p20,1191,1083
1999,p50,2026,1950
2001,p20,1383,1200
2001,p50,2387,2100
2002,p20,1346,1200
2002,p50,2380,2083
2003,p20,1334,1200
2003,p50,2410,2100
2004,p20,1305,1200
2004,p50,2326,2100
2006,p20,1286,1200
2006,p50,2449,2167
2007,p20,1356,1200
2007,p50,2543,2333
2007a,p20,1356,1200
2007a,p50,2543,2333
2008,p20,1489,1307
2008,p50,2897,2588
2009,p20,1500,1400
2009,p50,2927,2600
2010,p20,1600,1500
2010,p50,3000,2708
2011,p20,1733,1500
2011,p50,3249,2925
2012,p20,1740,1563
2012,p50,3480,3000
2013,p20,1885,1700
2013,p50,3705,3250
2014,p20,1972,1750
2014,p50,3770,3276
2015,p20,2012,1800
2015,p50,3949,3467
2016,p20,2106,1950
2016,p50,4056,3500
2017,p20,2200,2000
2017,p50,4232,3749
2018,p20,2340,2000
2018,p50,4437,3800
2019,p20,2457,2167
2019,p50,4563,4000
2020,p20,2340,2033
2020,p50,4534,4000
2021,p20,2500,2200
2021,p50,4680,4000
2022,p20,2779,2492
2022,p50,5070,4500
2023,p20,2826,2500
2023,p50,5197,4550
2024,p20,3026,2708
2024,p50,5500,4860
2025,p20,3164,2817
2025,p50,5775,5000
