year,sex,age,resident_labour_force
1991,male,15-19,36900
1991,male,20-24,99400
1991,male,25-29,134500
1991,male,30-34,143300
1991,male,35-39,131000
1991,male,40-44,110200
1991,male,45-49,64100
1991,male,50-54,63100
1991,male,55-59,38200
1991,male,60-64,21300
1991,male,65-69,8500
1991,male,70 & Over,5700
1991,female,15-19,30100
1991,female,20-24,92100
1991,female,25-29,100000
1991,female,30-34,86100
1991,female,35-39,70700
1991,female,40-44,61600
1991,female,45-49,32900
1991,female,50-54,23000
1991,female,55-59,11200
1991,female,60-64,5500
1991,female,65-69,1900
1991,female,70 & Over,1700
1992,male,15-19,34100
1992,male,20-24,98500
1992,male,25-29,132600
1992,male,30-34,147000
1992,male,35-39,130300
1992,male,40-44,113500
1992,male,45-49,73700
1992,male,50-54,63600
1992,male,55-59,38800
1992,male,60-64,22500
1992,male,65-69,10700
1992,male,70 & Over,6500
1992,female,15-19,27800
1992,female,20-24,91400
1992,female,25-29,104100
1992,female,30-34,90100
1992,female,35-39,75100
1992,female,40-44,63300
1992,female,45-49,37300
1992,female,50-54,26900
1992,female,55-59,12100
1992,female,60-64,5900
1992,female,65-69,2300
1992,female,70 & Over,1800
1993,male,15-19,27800
1993,male,20-24,101100
1993,male,25-29,126100
1993,male,30-34,137400
1993,male,35-39,136800
1993,male,40-44,123500
1993,male,45-49,85800
1993,male,50-54,63700
1993,male,55-59,39500
1993,male,60-64,23800
1993,male,65-69,10700
1993,male,70 & Over,7300
1993,female,15-19,25700
1993,female,20-24,89800
1993,female,25-29,95800
1993,female,30-34,89600
1993,female,35-39,78600
1993,female,40-44,66600
1993,female,45-49,43000
1993,female,50-54,26400
1993,female,55-59,14000
1993,female,60-64,5100
1993,female,65-69,2300
1993,female,70 & Over,1500
1994,male,15-19,25300
1994,male,20-24,96500
1994,male,25-29,124100
1994,male,30-34,141200
1994,male,35-39,144600
1994,male,40-44,123400
1994,male,45-49,93500
1994,male,50-54,63700
1994,male,55-59,42900
1994,male,60-64,23400
1994,male,65-69,11600
1994,male,70 & Over,8000
1994,female,15-19,20800
1994,female,20-24,92000
1994,female,25-29,100500
1994,female,30-34,92400
1994,female,35-39,83000
1994,female,40-44,66900
1994,female,45-49,47200
1994,female,50-54,27700
1994,female,55-59,16000
1994,female,60-64,6200
1994,female,65-69,3000
1994,female,70 & Over,1900
1996,male,15-19,24100
1996,male,20-24,82200
1996,male,25-29,110700
1996,male,30-34,142500
1996,male,35-39,151300
1996,male,40-44,138000
1996,male,45-49,115100
1996,male,50-54,60400
1996,male,55-59,49200
1996,male,60-64,23000
1996,male,65-69,12800
1996,male,70 & Over,7300
1996,female,15-19,16400
1996,female,20-24,82300
1996,female,25-29,102300
1996,female,30-34,102400
1996,female,35-39,90800
1996,female,40-44,78100
1996,female,45-49,62300
1996,female,50-54,28700
1996,female,55-59,18500
1996,female,60-64,7200
1996,female,65-69,3600
1996,female,70 & Over,2200
1997,male,15-19,18500
1997,male,20-24,82700
1997,male,25-29,116200
1997,male,30-34,141800
1997,male,35-39,149800
1997,male,40-44,141000
1997,male,45-49,119800
1997,male,50-54,72800
1997,male,55-59,49200
1997,male,60-64,24400
1997,male,65-69,13100
1997,male,70 & Over,6100
1997,female,15-19,14300
1997,female,20-24,79300
1997,female,25-29,106100
1997,female,30-34,99700
1997,female,35-39,88400
1997,female,40-44,81900
1997,female,45-49,66600
1997,female,50-54,34200
1997,female,55-59,18600
1997,female,60-64,7700
1997,female,65-69,3800
1997,female,70 & Over,2200
1998,male,15-19,17700
1998,male,20-24,73500
1998,male,25-29,110900
1998,male,30-34,137300
1998,male,35-39,152300
1998,male,40-44,146200
1998,male,45-49,123000
1998,male,50-54,77900
1998,male,55-59,50300
1998,male,60-64,24200
1998,male,65-69,11600
1998,male,70 & Over,6900
1998,female,15-19,11400
1998,female,20-24,68300
1998,female,25-29,104400
1998,female,30-34,103100
1998,female,35-39,94600
1998,female,40-44,89700
1998,female,45-49,70100
1998,female,50-54,40100
1998,female,55-59,20200
1998,female,60-64,7300
1998,female,65-69,3600
1998,female,70 & Over,1900
1999,male,15-19,19300
1999,male,20-24,71900
1999,male,25-29,114700
1999,male,30-34,141900
1999,male,35-39,154900
1999,male,40-44,146200
1999,male,45-49,121800
1999,male,50-54,85900
1999,male,55-59,49700
1999,male,60-64,28100
1999,male,65-69,13300
1999,male,70 & Over,8800
1999,female,15-19,14900
1999,female,20-24,71100
1999,female,25-29,110000
1999,female,30-34,103900
1999,female,35-39,91100
1999,female,40-44,90400
1999,female,45-49,75200
1999,female,50-54,43400
1999,female,55-59,21600
1999,female,60-64,11500
1999,female,65-69,4100
1999,female,70 & Over,2100
2001,male,15-19,19600
2001,male,20-24,73300
2001,male,25-29,110100
2001,male,30-34,130200
2001,male,35-39,155300
2001,male,40-44,153700
2001,male,45-49,131000
2001,male,50-54,103600
2001,male,55-59,43900
2001,male,60-64,31600
2001,male,65-69,13600
2001,male,70 & Over,8200
2001,female,15-19,14800
2001,female,20-24,66700
2001,female,25-29,108800
2001,female,30-34,104500
2001,female,35-39,101000
2001,female,40-44,96200
2001,female,45-49,80200
2001,female,50-54,56000
2001,female,55-59,23300
2001,female,60-64,11700
2001,female,65-69,4400
2001,female,70 & Over,2500
2002,male,15-19,14000
2002,male,20-24,70900
2002,male,25-29,106000
2002,male,30-34,129300
2002,male,35-39,157000
2002,male,40-44,155200
