year,sex,highest_qualification,labour_force
1991,male,primary and below,281300
1991,male,lower secondary,158800
1991,male,secondary,224400
1991,male,post-secondary (non-tertiary),76000
1991,male,diploma and professional qualification,58300
1991,male,degree,57400
1991,female,primary and below,143900
1991,female,lower secondary,53300
1991,female,secondary,195900
1991,female,post-secondary (non-tertiary),61100
1991,female,diploma and professional qualification,27600
1991,female,degree,35100
1992,male,primary and below,273300
1992,male,lower secondary,158300
1992,male,secondary,223400
1992,male,post-secondary (non-tertiary),80900
1992,male,diploma and professional qualification,67000
1992,male,degree,68900
1992,female,primary and below,143900
1992,female,lower secondary,55400
1992,female,secondary,200500
1992,female,post-secondary (non-tertiary),62600
1992,female,diploma and professional qualification,35300
1992,female,degree,40300
1993,male,primary and below,269700
1993,male,lower secondary,155600
1993,male,secondary,228500
1993,male,post-secondary (non-tertiary),81200
1993,male,diploma and professional qualification,70900
1993,male,degree,77500
1993,female,primary and below,136600
1993,female,lower secondary,59300
1993,female,secondary,195200
1993,female,post-secondary (non-tertiary),62200
1993,female,diploma and professional qualification,36800
1993,female,degree,48200
1994,male,primary and below,261500
1994,male,lower secondary,159000
1994,male,secondary,233400
1994,male,post-secondary (non-tertiary),83900
1994,male,diploma and professional qualification,77000
1994,male,degree,83500
1994,female,primary and below,135400
1994,female,lower secondary,61500
1994,female,secondary,201700
1994,female,post-secondary (non-tertiary),61600
1994,female,diploma and professional qualification,44200
1994,female,degree,53400
1996,male,primary and below,243400
1996,male,lower secondary,150500
1996,male,secondary,247200
1996,male,post-secondary (non-tertiary),81500
1996,male,diploma and professional qualification,91400
1996,male,degree,102700
1996,female,primary and below,130200
1996,female,lower secondary,62300
1996,female,secondary,211400
1996,female,post-secondary (non-tertiary),60200
1996,female,diploma and professional qualification,59500
1996,female,degree,71200
1997,male,primary and below,226300
1997,male,lower secondary,168400
1997,male,secondary,242100
1997,male,post-secondary (non-tertiary),76300
1997,male,diploma and professional qualification,103200
1997,male,degree,119200
1997,female,primary and below,123900
1997,female,lower secondary,74800
1997,female,secondary,204700
1997,female,post-secondary (non-tertiary),60800
1997,female,diploma and professional qualification,63200
1997,female,degree,75300
1998,male,primary and below,214500
1998,male,lower secondary,158300
1998,male,secondary,243400
1998,male,post-secondary (non-tertiary),74400
1998,male,diploma and professional qualification,110800
1998,male,degree,130300
1998,female,primary and below,117700
1998,female,lower secondary,70000
1998,female,secondary,208800
1998,female,post-secondary (non-tertiary),60600
1998,female,diploma and professional qualification,71500
1998,female,degree,86200
1999,male,primary and below,213600
1999,male,lower secondary,166200
1999,male,secondary,243300
1999,male,post-secondary (non-tertiary),78500
1999,male,diploma and professional qualification,113300
1999,male,degree,141500
1999,female,primary and below,119000
1999,female,lower secondary,74600
1999,female,secondary,212200
1999,female,post-secondary (non-tertiary),60100
1999,female,diploma and professional qualification,82100
1999,female,degree,91500
2001,male,primary and below,195100
2001,male,lower secondary,153300
2001,male,secondary,245700
2001,male,post-secondary (non-tertiary),90400
2001,male,diploma and professional qualification,125300
2001,male,degree,164400
2001,female,primary and below,114900
2001,female,lower secondary,75600
2001,female,secondary,211000
2001,female,post-secondary (non-tertiary),58400
2001,female,diploma and professional qualification,95800
2001,female,degree,114400
2002,male,primary and below,189400
2002,male,lower secondary,157400
2002,male,secondary,247200
2002,male,post-secondary (non-tertiary),91500
2002,male,diploma and professional qualification,128200
2002,male,degree,179300
2002,female,primary and below,108600
2002,female,lower secondary,74000
2002,female,secondary,208400
2002,female,post-secondary (non-tertiary),60000
2002,female,diploma and professional qualification,94600
2002,female,degree,129400
2003,male,primary and below,186000
2003,male,lower secondary,156000
2003,male,secondary,235800
2003,male,post-secondary (non-tertiary),90100
2003,male,diploma and professional qualification,134000
2003,male,degree,204400
2003,female,primary and below,106900
2003,female,lower secondary,74100
2003,female,secondary,205500
2003,female,post-secondary (non-tertiary),61800
2003,female,diploma and professional qualification,107500
2003,female,degree,144300
2004,male,primary and below,175200
2004,male,lower secondary,156600
2004,male,secondary,234600
2004,male,post-secondary (non-tertiary),92800
2004,male,diploma and professional qualification,142100
2004,male,degree,216100
2004,female,primary and below,105600
2004,female,lower secondary,80300
2004,female,secondary,196100
2004,female,post-secondary (non-tertiary),60600
2004,female,diploma and professional qualification,115700
2004,female,degree,157500
2006,male,primary and below,178000
2006,male,lower secondary,153500
2006,male,secondary,242800
2006,male,post-secondary (non-tertiary),96100
2006,male,diploma and professional qualification,159500
2006,male,degree,251300
2006,female,primary and below,117700
2006,female,lower secondary,83200
2006,female,secondary,213400
2006,female,post-secondary (non-tertiary),66600
2006,female,diploma and professional qualification,129500
2006,female,degree,189400
2007,male,primary and below,174800
2007,male,lower secondary,159500
2007,male,secondary,240100
2007,male,post-secondary (non-tertiary),100600
2007,male,diploma and professional qualification,167900
2007,male,degree,257100
2007,female,primary and below,113600
2007,female,lower secondary,83300
2007,female,secondary,217800
2007,female,post-secondary (non-tertiary),67400
2007,female,diploma and professional qualification,139100
2007,female,degree,196900
2007a,male,primary and below,172900
2007a,male,lower secondary,157600
2007a,male,secondary,237000
2007a,male,post-secondary (non-tertiary),99000
